seed,seat,opponent,family,outcome,candidate_final_money,opponent_final_money,money_margin,p99_latency,weeds_at_end
101,0,moon,replay_tape_lineage,0.0,27023.0,168176.0,-141153.0,0.001,1
101,1,moon,replay_tape_lineage,0.0,27933.0,173147.0,-145214.0,0.0009,1
103,0,moon,replay_tape_lineage,0.0,26845.0,174982.0,-148137.0,0.0011,3
103,1,moon,replay_tape_lineage,0.0,28640.0,170426.0,-141786.0,0.001,1
107,0,moon,replay_tape_lineage,0.0,28553.0,191463.0,-162910.0,0.0009,1
107,1,moon,replay_tape_lineage,0.0,29588.0,190964.0,-161376.0,0.001,0
109,0,moon,replay_tape_lineage,0.0,27024.0,185897.0,-158873.0,0.001,6
109,1,moon,replay_tape_lineage,0.0,27427.0,181585.0,-154158.0,0.0011,0
113,0,moon,replay_tape_lineage,0.0,29551.0,182192.0,-152641.0,0.001,4
113,1,moon,replay_tape_lineage,0.0,29551.0,182192.0,-152641.0,0.0011,5
127,0,moon,replay_tape_lineage,0.0,26815.0,184486.0,-157671.0,0.001,0
127,1,moon,replay_tape_lineage,0.0,27461.0,182640.0,-155179.0,0.0011,0
131,0,moon,replay_tape_lineage,0.0,26317.0,182344.0,-156027.0,0.001,1
131,1,moon,replay_tape_lineage,0.0,27035.0,181339.0,-154304.0,0.0011,0
137,0,moon,replay_tape_lineage,0.0,26622.0,170944.0,-144322.0,0.0011,1
137,1,moon,replay_tape_lineage,0.0,25594.0,173574.0,-147980.0,0.001,1
101,0,soil,replay_tape_lineage,0.0,27023.0,168176.0,-141153.0,0.001,1
101,1,soil,replay_tape_lineage,0.0,27933.0,173147.0,-145214.0,0.001,1
103,0,soil,replay_tape_lineage,0.0,26845.0,174982.0,-148137.0,0.0011,3
103,1,soil,replay_tape_lineage,0.0,28640.0,170426.0,-141786.0,0.0011,1
107,0,soil,replay_tape_lineage,0.0,28553.0,191463.0,-162910.0,0.0011,1
107,1,soil,replay_tape_lineage,0.0,29588.0,190964.0,-161376.0,0.001,0
109,0,soil,replay_tape_lineage,0.0,27024.0,185897.0,-158873.0,0.001,6
109,1,soil,replay_tape_lineage,0.0,27427.0,181585.0,-154158.0,0.001,0
113,0,soil,replay_tape_lineage,0.0,29551.0,182192.0,-152641.0,0.001,4
113,1,soil,replay_tape_lineage,0.0,29551.0,182192.0,-152641.0,0.001,5
127,0,soil,replay_tape_lineage,0.0,26815.0,184486.0,-157671.0,0.0011,0
127,1,soil,replay_tape_lineage,0.0,27461.0,182640.0,-155179.0,0.0011,0
131,0,soil,replay_tape_lineage,0.0,26317.0,182344.0,-156027.0,0.0011,1
