seed,seat,opponent_name,family,outcome,candidate_final_money,opponent_final_money,status
11,0,pass,basic_baselines,1.0,19324.0,3000.0,DONE
11,1,pass,basic_baselines,1.0,19324.0,3000.0,DONE
23,0,pass,basic_baselines,1.0,19296.0,3000.0,DONE
23,1,pass,basic_baselines,1.0,19296.0,3000.0,DONE
37,0,pass,basic_baselines,1.0,19392.0,3000.0,DONE
37,1,pass,basic_baselines,1.0,19392.0,3000.0,DONE
53,0,pass,basic_baselines,1.0,19364.0,3000.0,DONE
53,1,pass,basic_baselines,1.0,19364.0,3000.0,DONE
11,0,deterministic_random,basic_baselines,1.0,19408.0,270.0,DONE
11,1,deterministic_random,basic_baselines,1.0,19390.0,380.0,DONE
23,0,deterministic_random,basic_baselines,1.0,19392.0,270.0,DONE
23,1,deterministic_random,basic_baselines,1.0,19364.0,380.0,DONE
37,0,deterministic_random,basic_baselines,1.0,19338.0,270.0,DONE
37,1,deterministic_random,basic_baselines,1.0,19364.0,380.0,DONE
53,0,deterministic_random,basic_baselines,1.0,19392.0,270.0,DONE
53,1,deterministic_random,basic_baselines,1.0,19364.0,380.0,DONE
11,0,wheat_only,basic_baselines,1.0,19427.0,3758.0,DONE
11,1,wheat_only,basic_baselines,1.0,19427.0,3758.0,DONE
23,0,wheat_only,basic_baselines,1.0,19408.0,3726.0,DONE
23,1,wheat_only,basic_baselines,1.0,19408.0,3726.0,DONE
37,0,wheat_only,basic_baselines,1.0,19416.0,3745.0,DONE
37,1,wheat_only,basic_baselines,1.0,19416.0,3745.0,DONE
53,0,wheat_only,basic_baselines,1.0,19386.0,3736.0,DONE
53,1,wheat_only,basic_baselines,1.0,19386.0,3736.0,DONE
11,0,starter,crop_closed_loop,1.0,19438.0,3500.0,DONE
11,1,starter,crop_closed_loop,1.0,19438.0,3500.0,DONE
23,0,starter,crop_closed_loop,1.0,19416.0,3499.0,DONE
23,1,starter,crop_closed_loop,1.0,19416.0,3499.0,DONE
37,0,starter,crop_closed_loop,1.0,19426.0,3491.0,DONE
37,1,starter,crop_closed_loop,1.0,19426.0,3491.0,DONE
53,0,starter,crop_closed_loop,1.0,19392.0,3504.0,DONE
53,1,starter,crop_closed_loop,1.0,19392.0,3504.0,DONE
