seed,seat,opponent,family,outcome,candidate_final_money,opponent_final_money,money_margin,p99_latency,weeds_at_end
101,0,moon,replay_tape_lineage,0.0,29012.0,162823.0,-133811.0,0.0004,3
101,1,moon,replay_tape_lineage,0.0,29050.0,163527.0,-134477.0,0.0004,3
103,0,moon,replay_tape_lineage,0.0,28867.0,175778.0,-146911.0,0.0005,2
103,1,moon,replay_tape_lineage,0.0,28894.0,174847.0,-145953.0,0.0005,2
107,0,moon,replay_tape_lineage,0.0,29143.0,187607.0,-158464.0,0.0004,3
107,1,moon,replay_tape_lineage,0.0,29134.0,187657.0,-158523.0,0.0004,2
109,0,moon,replay_tape_lineage,0.0,28942.0,177593.0,-148651.0,0.0005,2
109,1,moon,replay_tape_lineage,0.0,28942.0,177688.0,-148746.0,0.0004,2
113,0,moon,replay_tape_lineage,0.0,29081.0,179315.0,-150234.0,0.0005,1
113,1,moon,replay_tape_lineage,0.0,29081.0,179315.0,-150234.0,0.0004,1
127,0,moon,replay_tape_lineage,0.0,29138.0,177256.0,-148118.0,0.0004,3
127,1,moon,replay_tape_lineage,0.0,29052.0,182042.0,-152990.0,0.0004,2
131,0,moon,replay_tape_lineage,0.0,29012.0,176842.0,-147830.0,0.0005,3
131,1,moon,replay_tape_lineage,0.0,29075.0,176344.0,-147269.0,0.0004,3
137,0,moon,replay_tape_lineage,0.0,28886.0,168895.0,-140009.0,0.0005,2
137,1,moon,replay_tape_lineage,0.0,28886.0,168049.0,-139163.0,0.0004,5
101,0,soil,replay_tape_lineage,0.0,29012.0,162823.0,-133811.0,0.0004,3
101,1,soil,replay_tape_lineage,0.0,29050.0,163527.0,-134477.0,0.0004,3
103,0,soil,replay_tape_lineage,0.0,28867.0,175778.0,-146911.0,0.0004,2
103,1,soil,replay_tape_lineage,0.0,28894.0,174847.0,-145953.0,0.0004,2
107,0,soil,replay_tape_lineage,0.0,29143.0,187607.0,-158464.0,0.0004,3
107,1,soil,replay_tape_lineage,0.0,29134.0,187657.0,-158523.0,0.0005,2
109,0,soil,replay_tape_lineage,0.0,28942.0,177593.0,-148651.0,0.0005,2
109,1,soil,replay_tape_lineage,0.0,28942.0,177688.0,-148746.0,0.0004,2
113,0,soil,replay_tape_lineage,0.0,29081.0,179315.0,-150234.0,0.0004,1
113,1,soil,replay_tape_lineage,0.0,29081.0,179315.0,-150234.0,0.0004,1
127,0,soil,replay_tape_lineage,0.0,29138.0,177256.0,-148118.0,0.0004,3
127,1,soil,replay_tape_lineage,0.0,29052.0,182042.0,-152990.0,0.0004,2
131,0,soil,replay_tape_lineage,0.0,29012.0,176842.0,-147830.0,0.0004,3
131,1,soil,replay_tape_lineage,0.0,29075.0,176344.0,-147269.0,0.0005,3
137,0,soil,replay_tape_lineage,0.0,28886.0,168895.0,-140009.0,0.0005,2
137,1,soil,replay_tape_lineage,0.0,28886.0,168049.0,-139163.0,0.0005,5
101,0,roman_anchor,replay_tape_lineage,0.0,28808.0,161375.0,-132567.0,0.0006,3
101,1,roman_anchor,replay_tape_lineage,0.0,28839.0,162103.0,-133264.0,0.0004,3
103,0,roman_anchor,replay_tape_lineage,0.0,28659.0,174714.0,-146055.0,0.0005,2
103,1,roman_anchor,replay_tape_lineage,0.0,28679.0,171795.0,-143116.0,0.0005,2
107,0,roman_anchor,replay_tape_lineage,0.0,28933.0,186570.0,-157637.0,0.0004,3
107,1,roman_anchor,replay_tape_lineage,0.0,28933.0,186617.0,-157684.0,0.0005,4
109,0,roman_anchor,replay_tape_lineage,0.0,28733.0,176471.0,-147738.0,0.0004,2
109,1,roman_anchor,replay_tape_lineage,0.0,28733.0,176684.0,-147951.0,0.0005,2
113,0,roman_anchor,replay_tape_lineage,0.0,28878.0,177461.0,-148583.0,0.0004,1
113,1,roman_anchor,replay_tape_lineage,0.0,28878.0,177461.0,-148583.0,0.0004,1
127,0,roman_anchor,replay_tape_lineage,0.0,28920.0,174710.0,-145790.0,0.0005,3
127,1,roman_anchor,replay_tape_lineage,0.0,28850.0,181241.0,-152391.0,0.0004,2
131,0,roman_anchor,replay_tape_lineage,0.0,28808.0,175654.0,-146846.0,0.0004,3
131,1,roman_anchor,replay_tape_lineage,0.0,28866.0,174445.0,-145579.0,0.0004,3
137,0,roman_anchor,replay_tape_lineage,0.0,28679.0,167836.0,-139157.0,0.0005,2
137,1,roman_anchor,replay_tape_lineage,0.0,28679.0,167014.0,-138335.0,0.0004,6
101,0,kaito_v17,learned_market_ranker,0.0,29060.0,157942.0,-128882.0,0.0005,3
101,1,kaito_v17,learned_market_ranker,0.0,29050.0,163546.0,-134496.0,0.0004,3
