seed,seat,opponent_name,family,outcome,candidate_final_money,opponent_final_money,status
11,0,pass,basic_baselines,1.0,41238.0,3000.0,DONE
11,1,pass,basic_baselines,1.0,41238.0,3000.0,DONE
23,0,pass,basic_baselines,1.0,41238.0,3000.0,DONE
23,1,pass,basic_baselines,1.0,41238.0,3000.0,DONE
37,0,pass,basic_baselines,1.0,41630.0,3000.0,DONE
37,1,pass,basic_baselines,1.0,41630.0,3000.0,DONE
53,0,pass,basic_baselines,1.0,41448.0,3000.0,DONE
53,1,pass,basic_baselines,1.0,41448.0,3000.0,DONE
11,0,deterministic_random,basic_baselines,1.0,41448.0,270.0,DONE
11,1,deterministic_random,basic_baselines,1.0,41820.0,380.0,DONE
23,0,deterministic_random,basic_baselines,1.0,41820.0,270.0,DONE
23,1,deterministic_random,basic_baselines,1.0,41718.0,380.0,DONE
37,0,deterministic_random,basic_baselines,1.0,41630.0,270.0,DONE
37,1,deterministic_random,basic_baselines,1.0,41688.0,380.0,DONE
53,0,deterministic_random,basic_baselines,1.0,41124.0,270.0,DONE
53,1,deterministic_random,basic_baselines,1.0,41592.0,380.0,DONE
11,0,wheat_only,basic_baselines,1.0,41448.0,3725.0,DONE
11,1,wheat_only,basic_baselines,1.0,41448.0,3725.0,DONE
23,0,wheat_only,basic_baselines,1.0,41595.0,3739.0,DONE
23,1,wheat_only,basic_baselines,1.0,41595.0,3739.0,DONE
37,0,wheat_only,basic_baselines,1.0,41721.0,3752.0,DONE
37,1,wheat_only,basic_baselines,1.0,41721.0,3752.0,DONE
53,0,wheat_only,basic_baselines,1.0,41295.0,3686.0,DONE
53,1,wheat_only,basic_baselines,1.0,41295.0,3686.0,DONE
11,0,starter,crop_closed_loop,1.0,41498.0,3510.0,DONE
11,1,starter,crop_closed_loop,1.0,41498.0,3510.0,DONE
23,0,starter,crop_closed_loop,1.0,41630.0,3491.0,DONE
23,1,starter,crop_closed_loop,1.0,41630.0,3491.0,DONE
37,0,starter,crop_closed_loop,1.0,41754.0,3499.0,DONE
37,1,starter,crop_closed_loop,1.0,41754.0,3499.0,DONE
53,0,starter,crop_closed_loop,1.0,41346.0,3518.0,DONE
53,1,starter,crop_closed_loop,1.0,41346.0,3518.0,DONE
