seed,seat,opponent,family,outcome,candidate_final_money,opponent_final_money,money_margin,p99_latency,weeds_at_end
101,0,moon,replay_tape_lineage,0.0,32754.0,162058.0,-129304.0,0.0005,1
101,1,moon,replay_tape_lineage,0.0,32656.0,172454.0,-139798.0,0.0005,3
103,0,moon,replay_tape_lineage,0.0,32553.0,170337.0,-137784.0,0.0005,2
103,1,moon,replay_tape_lineage,0.0,32523.0,170628.0,-138105.0,0.0004,1
107,0,moon,replay_tape_lineage,0.0,32882.0,183562.0,-150680.0,0.0005,3
107,1,moon,replay_tape_lineage,0.0,32882.0,183069.0,-150187.0,0.0005,2
109,0,moon,replay_tape_lineage,0.0,32561.0,178198.0,-145637.0,0.0005,1
109,1,moon,replay_tape_lineage,0.0,32610.0,177694.0,-145084.0,0.0004,1
113,0,moon,replay_tape_lineage,0.0,32802.0,179454.0,-146652.0,0.0005,0
113,1,moon,replay_tape_lineage,0.0,32802.0,179454.0,-146652.0,0.0005,0
127,0,moon,replay_tape_lineage,0.0,32997.0,180532.0,-147535.0,0.0005,2
127,1,moon,replay_tape_lineage,0.0,32814.0,181221.0,-148407.0,0.0005,2
131,0,moon,replay_tape_lineage,0.0,32765.0,179552.0,-146787.0,0.0005,2
131,1,moon,replay_tape_lineage,0.0,32852.0,179093.0,-146241.0,0.0004,2
137,0,moon,replay_tape_lineage,0.0,33046.0,177761.0,-144715.0,0.0005,2
137,1,moon,replay_tape_lineage,0.0,32610.0,175424.0,-142814.0,0.0005,4
101,0,soil,replay_tape_lineage,0.0,32754.0,162058.0,-129304.0,0.0005,1
101,1,soil,replay_tape_lineage,0.0,32656.0,172454.0,-139798.0,0.0005,3
103,0,soil,replay_tape_lineage,0.0,32553.0,170337.0,-137784.0,0.0005,2
103,1,soil,replay_tape_lineage,0.0,32523.0,170628.0,-138105.0,0.0005,1
107,0,soil,replay_tape_lineage,0.0,32882.0,183562.0,-150680.0,0.0005,3
107,1,soil,replay_tape_lineage,0.0,32882.0,183069.0,-150187.0,0.0005,2
109,0,soil,replay_tape_lineage,0.0,32561.0,178198.0,-145637.0,0.0005,1
109,1,soil,replay_tape_lineage,0.0,32610.0,177694.0,-145084.0,0.0006,1
113,0,soil,replay_tape_lineage,0.0,32802.0,179454.0,-146652.0,0.0004,0
113,1,soil,replay_tape_lineage,0.0,32802.0,179454.0,-146652.0,0.0005,0
127,0,soil,replay_tape_lineage,0.0,32997.0,180532.0,-147535.0,0.0005,2
127,1,soil,replay_tape_lineage,0.0,32814.0,181221.0,-148407.0,0.0005,2
131,0,soil,replay_tape_lineage,0.0,32765.0,179552.0,-146787.0,0.0005,2
131,1,soil,replay_tape_lineage,0.0,32852.0,179093.0,-146241.0,0.0005,2
137,0,soil,replay_tape_lineage,0.0,33046.0,177761.0,-144715.0,0.0005,2
137,1,soil,replay_tape_lineage,0.0,32610.0,175424.0,-142814.0,0.0005,4
101,0,roman_anchor,replay_tape_lineage,0.0,32649.0,160527.0,-127878.0,0.0005,1
101,1,roman_anchor,replay_tape_lineage,0.0,32558.0,171297.0,-138739.0,0.0005,3
103,0,roman_anchor,replay_tape_lineage,0.0,32450.0,169464.0,-137014.0,0.0005,2
103,1,roman_anchor,replay_tape_lineage,0.0,32423.0,167626.0,-135203.0,0.0005,1
107,0,roman_anchor,replay_tape_lineage,0.0,32786.0,181693.0,-148907.0,0.0005,3
107,1,roman_anchor,replay_tape_lineage,0.0,32786.0,181496.0,-148710.0,0.0005,2
