seed,seat,opponent,family,outcome,candidate_final_money,opponent_final_money,money_margin,p99_latency,weeds_at_end
101,0,moon,replay_tape_lineage,0.0,31436.0,173511.0,-142075.0,0.0005,1
101,1,moon,replay_tape_lineage,0.0,31473.0,176047.0,-144574.0,0.0004,3
103,0,moon,replay_tape_lineage,0.0,31246.0,176360.0,-145114.0,0.0005,2
103,1,moon,replay_tape_lineage,0.0,31264.0,174888.0,-143624.0,0.0004,1
107,0,moon,replay_tape_lineage,0.0,31553.0,188593.0,-157040.0,0.0004,2
107,1,moon,replay_tape_lineage,0.0,31553.0,188487.0,-156934.0,0.0005,2
109,0,moon,replay_tape_lineage,0.0,31300.0,179530.0,-148230.0,0.0005,1
109,1,moon,replay_tape_lineage,0.0,31300.0,178995.0,-147695.0,0.0005,1
113,0,moon,replay_tape_lineage,0.0,31358.0,184452.0,-153094.0,0.0005,0
113,1,moon,replay_tape_lineage,0.0,31358.0,184452.0,-153094.0,0.0005,1
127,0,moon,replay_tape_lineage,0.0,31509.0,175885.0,-144376.0,0.0005,2
127,1,moon,replay_tape_lineage,0.0,31364.0,184656.0,-153292.0,0.0005,1
131,0,moon,replay_tape_lineage,0.0,31436.0,183684.0,-152248.0,0.0005,2
131,1,moon,replay_tape_lineage,0.0,31473.0,180493.0,-149020.0,0.0005,2
137,0,moon,replay_tape_lineage,0.0,31300.0,171105.0,-139805.0,0.0005,1
137,1,moon,replay_tape_lineage,0.0,31278.0,170421.0,-139143.0,0.0005,4
101,0,soil,replay_tape_lineage,0.0,31436.0,173511.0,-142075.0,0.0005,1
101,1,soil,replay_tape_lineage,0.0,31473.0,176047.0,-144574.0,0.0005,3
103,0,soil,replay_tape_lineage,0.0,31246.0,176360.0,-145114.0,0.0005,2
103,1,soil,replay_tape_lineage,0.0,31264.0,174888.0,-143624.0,0.0005,1
107,0,soil,replay_tape_lineage,0.0,31553.0,188593.0,-157040.0,0.0005,2
107,1,soil,replay_tape_lineage,0.0,31553.0,188487.0,-156934.0,0.0005,2
109,0,soil,replay_tape_lineage,0.0,31300.0,179530.0,-148230.0,0.0005,1
109,1,soil,replay_tape_lineage,0.0,31300.0,178995.0,-147695.0,0.0005,1
113,0,soil,replay_tape_lineage,0.0,31358.0,184452.0,-153094.0,0.0004,0
113,1,soil,replay_tape_lineage,0.0,31358.0,184452.0,-153094.0,0.0005,1
127,0,soil,replay_tape_lineage,0.0,31509.0,175885.0,-144376.0,0.0005,2
127,1,soil,replay_tape_lineage,0.0,31364.0,184656.0,-153292.0,0.0005,1
131,0,soil,replay_tape_lineage,0.0,31436.0,183684.0,-152248.0,0.0005,2
131,1,soil,replay_tape_lineage,0.0,31473.0,180493.0,-149020.0,0.0005,2
137,0,soil,replay_tape_lineage,0.0,31300.0,171105.0,-139805.0,0.0005,1
137,1,soil,replay_tape_lineage,0.0,31278.0,170421.0,-139143.0,0.0005,4
101,0,roman_anchor,replay_tape_lineage,0.0,31342.0,172225.0,-140883.0,0.0005,1
101,1,roman_anchor,replay_tape_lineage,0.0,31376.0,174805.0,-143429.0,0.0005,3
103,0,roman_anchor,replay_tape_lineage,0.0,31148.0,175485.0,-144337.0,0.0005,2
103,1,roman_anchor,replay_tape_lineage,0.0,31148.0,171946.0,-140798.0,0.0005,1
107,0,roman_anchor,replay_tape_lineage,0.0,31458.0,187707.0,-156249.0,0.0005,2
107,1,roman_anchor,replay_tape_lineage,0.0,31458.0,187603.0,-156145.0,0.0005,2
109,0,roman_anchor,replay_tape_lineage,0.0,31200.0,178699.0,-147499.0,0.0005,1
109,1,roman_anchor,replay_tape_lineage,0.0,31200.0,177977.0,-146777.0,0.0004,1
113,0,roman_anchor,replay_tape_lineage,0.0,31257.0,183464.0,-152207.0,0.0004,0
113,1,roman_anchor,replay_tape_lineage,0.0,31257.0,183464.0,-152207.0,0.0005,1
127,0,roman_anchor,replay_tape_lineage,0.0,31402.0,173641.0,-142239.0,0.0005,2
127,1,roman_anchor,replay_tape_lineage,0.0,31276.0,183657.0,-152381.0,0.0005,1
